3464900ba92c4c578a0ad89747831284, 0.522716, -0.142280, 1.944539, 0.003499, -0.004091, -0.009803, 0.999937, 0.000000, 0.000000
790e051175d646da8db7e6228ee2579d, 5.742283, 0.244895, 1.248698, 0.001761, -0.011458, 0.012561, 0.999854, 0.000000, 0.000000
fbc6456459944d1885587d9f22021fb6, 8.073534, 1.549464, 1.301287, -0.000633, -0.011894, 0.010923, 0.999869, 0.000000, 0.000000
4d587929740d4b769e3fa690bff6b61c, 8.495595, -1.548454, 1.306190, 0.004958, -0.011895, 0.015794, 0.999792, 0.000000, 0.000000
842f290305bf4fd59455247aeb4191a3, 7.057585, 3.847551, 1.264780, -0.006185, -0.002606, 0.718201, 0.695803, 0.000000, 0.000000
41c64200f8a743a2bcf75eb20af10bd8, 4.649309, 4.299451, 1.205220, -0.007263, 0.007127, 0.999838, -0.014841, 0.000000, 0.000000
dcbca1418fff41008dec9b16f91caa7c, 4.625092, 5.770869, 1.196833, -0.006343, 0.008492, 0.999937, -0.003717, 0.000000, 0.000000
2e2c11df51584e678e5c2efca252dd4d, 4.648564, 7.233665, 1.177112, -0.005024, 0.007567, 0.999664, -0.024298, 0.000000, 0.000000
147bf20b2c68437582cd51180d72c749, 4.613736, 8.560304, 1.159607, -0.007018, 0.008406, 0.999542, -0.028199, 0.000000, 0.000000
7704bf11f0ab48deb604669d3580fea7, 4.605188, 9.836753, 1.151743, -0.007653, 0.005346, 0.999736, -0.020996, 0.000000, 0.000000
425c4261994347d6864ed41b50c34d8c, 6.973956, -3.218354, 1.262495, 0.007025, -0.008453, -0.695121, 0.718809, 0.000000, 0.000000
f790637f3f3946e09bc739f8b576d811, 4.641326, -3.865122, 1.205417, -0.004604, 0.000184, 0.999964, 0.007085, 0.000000, 0.000000
9b7c03cb2edd48a6b15d0daae9649298, 4.627528, -5.248859, 1.196934, -0.005590, -0.001959, 0.999952, -0.007863, 0.000000, 0.000000
dc211cf989c646a99ff0f53fc57e739c, 4.642632, -6.546107, 1.185463, -0.005498, -0.001084, 0.999798, -0.019286, 0.000000, 0.000000
d1d1883cbd36485f9689fc3bd021857e, 4.645934, -7.750291, 1.180760, -0.004533, -0.001899, 0.999982, -0.003369, 0.000000, 0.000000
088581bb0fcf400d9305606a0a13f5cc, 4.647165, -9.091349, 1.167320, -0.006613, -0.003009, 0.999604, -0.027186, 0.000000, 0.000000
3907a735394e4700bab49b4b27cdd9ba, 5.515353, -9.896450, 1.173221, 0.009075, -0.007011, -0.715757, 0.698255, 0.000000, 0.000000
